latitude,longitude,line_number,picture,tags
41.6995415,-87.6908064,5,street_view_4.jpg,car | estate | home | house | house exterior | lawn | lush | park | suburb | tree | yard
41.7365804,-87.5724233,6,street_view_5.jpg,apartment | bin | building | car | chimney | curb | home | house | pavement | pole | power line | road | sky | street corner | street scene | street sign | suburb | sun
41.9966299,-87.7280554,20,street_view_19.jpg,car | construction site | dirt road | dirt track | fence | park | pole | power line | retail | road | rural | street sign | suv | telegraph pole | white
41.8723405,-87.7264867,23,street_view_22.jpg,ambulance | car | home | house | house exterior | park | road | street scene | suburb | tree
41.8437024,-87.6571607,24,street_view_23.jpg,apartment | building | car | home | house | house exterior | lamp post | park | pole | sky
41.7890256,-87.7886588,27,street_view_26.jpg,car | curb | driveway | home | house | house exterior | park | sedan | suburb | tree
41.9503045,-87.7573587,35,street_view_34.jpg,alley | bin | cloudy | driveway | garage | garage door | home | house | house exterior | power line | road | sky | storm cloud | stormy
41.7859109,-87.6701037,36,street_view_35.jpg,car | cloudy | home | house | house exterior | park | road | sky | street scene | suburb
41.9944146,-87.7174177,45,street_view_44.jpg,car | curb | house exterior | person | man | park | road | street scene | suburb | tree | walk
41.9441256,-87.833558,53,street_view_52.jpg,alley | bin | building | curb | garage | garage door | home | house | house exterior | pavement | power line | road
41.7976871,-87.632718,55,street_view_54.jpg,alley | bin | car | cloudy | driveway | home | house | house exterior | park | power line | road | street scene | suburb | tree
41.9396848,-87.8211318,71,street_view_70.jpg,apartment | building | grass | home | house | house exterior | lush | sky | suburb | tree | white | white house | yard
41.6986628,-87.6144138,73,street_view_72.jpg,apartment | bin | building | chimney | cloudy | fence | garage | garage door | home | house | house exterior | power line | sky
41.7804631,-87.6651198,75,street_view_74.jpg,car | curb | driveway | park | road | suburb | tree | white
41.8446132,-87.716892,84,street_view_83.jpg,alley | wall | building | car | draw | narrow | peel | pole | power line | red | retail | road | sky | telegraph pole
41.7836574,-87.7726002,88,street_view_87.jpg,car | cloudy | curb | driveway | house exterior | park | road | sky | street scene | suburb | tree | white
41.8263648,-87.6123181,95,street_view_94.jpg,building | curb | path | grass | pavement | pole | power line | road | sky | street corner | street sign | suburb | telegraph pole
41.6864666,-87.6465906,96,street_view_95.jpg,car | curb | drive | house exterior | park | road | street scene | tree
41.9025539,-87.7523277,98,street_view_97.jpg,alley | bin | building | driveway | garage | garage door | home | house | house exterior | pole | power line | road | sky | suburb | telegraph pole
41.7696411,-87.593272,100,street_view_99.jpg,creek | dirt road | fence | path | forest | lead to | lush | puddle | road | rural | trail | tree | wood
42.0118274,-87.6708692,105,street_view_104.jpg,alley | car | driveway | fence | garage | home | house | house exterior | lead to | power line | retail | road | street scene | street sign | telegraph pole | tree
41.9842961,-87.6986079,106,street_view_105.jpg,apartment | building | car | home | house | house exterior | park | suburb
41.8935715,-87.7640464,110,street_view_109.jpg,alley | apartment | bin | building | fence | power line | sky | tree
41.7739853,-87.7223103,119,street_view_118.jpg,brick building | building | car | pillar | fence | home | park | retail | sky | stone building
41.9602896,-87.6681267,122,street_view_121.jpg,bin | car | curb | home | house | house exterior | park | park bench | pavement | road | sky | street scene | tree
41.941035,-87.6867911,132,street_view_131.jpg,alley | shed | bin | car | driveway | garage | garage door | home | house | house exterior | park | power line | telegraph pole
41.6596242,-87.639762,143,street_view_142.jpg,curb | home | house | house exterior | hydrant | lush | pavement | red | suburb | tree | yard
41.8976144,-87.7523495,146,street_view_145.jpg,shed | building | fence | garage | garage door | home | house | house exterior | pole | power line | sky | telegraph pole | tree | wire
41.9453966,-87.7938954,153,street_view_152.jpg,graveyard | cloudy | fence | grave | gravestone | green | lamp post | lush | pole | road | sky | street corner | street light | street sign
41.9308693,-87.748613,155,street_view_154.jpg,alley | shed | bin | car | driveway | fence | garage | garage door | home | house | house exterior | pole | power line | road | sky | telegraph pole
41.7933622,-87.7583123,156,street_view_155.jpg,car | cloudy | home | house | house exterior | minivan | park | row | sky | suburb | suv
41.8866916,-87.712028,163,street_view_162.jpg,bin | car | fence | garage | home | house | house exterior | park | pergola | pick up | pole | rail | sky | swing
41.9318145,-87.7878147,174,street_view_173.jpg,attach | shed | bin | building | car | garage | garage door | home | house | house exterior | pole | power line | sky | sun | wire
41.9702127,-87.7364451,175,street_view_174.jpg,alley | bin | driveway | garage | garage door | home | house | house exterior | pole | power line | road | telegraph pole
41.8269361,-87.639485,180,street_view_179.jpg,apartment | building | curb | fence | home | house | house exterior | retail | street corner | street scene | suburb | tree
41.7091308,-87.6456993,184,street_view_183.jpg,shed | bin | building | cage | car | cloudy | dog house | fence | garage | garage door | home | house | house exterior | park | pick up | power line | ramp | sky | suv
41.8097026,-87.6297476,193,street_view_192.jpg,bin | fence | home | house | house exterior | street corner | street scene | tree
41.7669493,-87.6097627,194,street_view_193.jpg,curve | driveway | highway | lush | pole | rail | road | road sign | rural | sky | street sign | sun | sunny | tree
41.923025,-87.7288289,205,street_view_204.jpg,shed | cloudy | fence | garage | garage door | home | house | house exterior | power line | sky
41.8171245,-87.6855942,209,street_view_208.jpg,shed | bin | building | car | garage | garage door | home | house | house exterior | power line | siding | sky | stool | sun | tree | white
41.9536333,-87.7058406,211,street_view_210.jpg,arch | archway | beam | canteen | ceiling | chair | pillar | table | dining room | restaurant | retail | stool
41.7677925,-87.6745147,226,street_view_225.jpg,apartment | fence | home | house | house exterior | row | suburb | tree | yard
