latitude,longitude,line_number,WARD,PRECINCT
41.6995415,-87.6908064,5,19.0,46.0
41.7365804,-87.5724233,6,8.0,4.0
41.9966299,-87.7280554,20,39.0,36.0
41.8723405,-87.7264867,23,24.0,20.0
41.8437024,-87.6571607,24,11.0,1.0
41.7890256,-87.7886588,27,23.0,12.0
41.9503045,-87.7573587,35,45.0,10.0
41.7859109,-87.6701037,36,15.0,2.0
41.9944146,-87.7174177,45,50.0,25.0
41.9441256,-87.833558,53,38.0,7.0
41.7976871,-87.632718,55,3.0,36.0
41.9396848,-87.8211318,71,38.0,30.0
41.6986628,-87.6144138,73,9.0,32.0
41.7804631,-87.6651198,75,16.0,34.0
41.8446132,-87.716892,84,22.0,13.0
41.7836574,-87.7726002,88,13.0,2.0
41.8263648,-87.6123181,95,4.0,30.0
41.6864666,-87.6465906,96,34.0,8.0
41.9025539,-87.7523277,98,37.0,40.0
41.7696411,-87.593272,100,5.0,30.0
42.0118274,-87.6708692,105,49.0,22.0
41.9842961,-87.6986079,106,40.0,24.0
41.8935715,-87.7640464,110,37.0,37.0
41.7739853,-87.7223103,119,13.0,34.0
41.9602896,-87.6681267,122,47.0,18.0
41.941035,-87.6867911,132,32.0,19.0
41.6596242,-87.639762,143,34.0,6.0
41.8976144,-87.7523495,146,37.0,36.0
41.9453966,-87.7938954,153,38.0,8.0
41.9308693,-87.748613,155,31.0,2.0
41.7933622,-87.7583123,156,23.0,8.0
41.8866916,-87.712028,163,28.0,22.0
41.9318145,-87.7878147,174,36.0,10.0
41.9702127,-87.7364451,175,39.0,7.0
41.8269361,-87.639485,180,11.0,29.0
41.7091308,-87.6456993,184,34.0,45.0
41.8097026,-87.6297476,193,3.0,1.0
41.7669493,-87.6097627,194,6.0,7.0
41.923025,-87.7288289,205,35.0,14.0
41.8171245,-87.6855942,209,15.0,9.0
41.9536333,-87.7058406,211,33.0,6.0
41.7677925,-87.6745147,226,17.0,33.0
41.833321,-87.6428657,228,11.0,26.0
41.9516822,-87.8284558,234,38.0,17.0
41.7311046,-87.5824175,241,8.0,3.0
41.7594839,-87.573322,243,7.0,3.0
41.9357793,-87.713704,245,35.0,6.0
41.8542262,-87.7115646,262,24.0,9.0
42.0092298,-87.7794175,265,41.0,47.0
41.9698743,-87.6861697,283,47.0,20.0
42.0031788,-87.8173225,287,41.0,5.0
41.8546053,-87.6837848,288,25.0,8.0
41.7681311,-87.5875079,290,5.0,10.0
41.9552585,-87.7898647,297,38.0,26.0
41.7606679,-87.5924227,299,8.0,1.0
41.7787736,-87.6019892,318,20.0,5.0
41.9886859,-87.6709369,319,40.0,22.0
41.8638616,-87.6236131,322,3.0,34.0
41.9794872,-87.7930007,330,45.0,45.0
41.9710654,-87.6991288,338,40.0,17.0
41.8465589,-87.6532641,340,11.0,1.0
41.9584542,-87.7628781,344,38.0,31.0
41.9923576,-87.6695878,345,48.0,38.0
41.9394859,-87.671621,349,32.0,40.0
41.6889892,-87.6864107,354,19.0,32.0
41.7800426,-87.7108624,362,23.0,20.0
41.7109658,-87.5385684,363,10.0,31.0
41.9633979,-87.7792186,364,38.0,14.0
41.9143576,-87.7073993,368,1.0,17.0
41.6509772,-87.5438722,369,10.0,16.0
41.7705128,-87.6703998,371,16.0,16.0
41.992421,-87.7267447,372,39.0,32.0
41.8590809,-87.6929255,376,24.0,7.0
41.9319423,-87.7359701,380,31.0,24.0
41.9605057,-87.7134764,381,35.0,27.0
41.8120604,-87.6646799,392,15.0,1.0
41.9941914,-87.7586665,397,39.0,44.0
41.7378844,-87.6124848,403,6.0,31.0
41.9106695,-87.7400823,406,37.0,22.0
42.0215454,-87.67341,414,49.0,1.0
41.7027439,-87.6035109,425,9.0,8.0
41.9472269,-87.8356415,429,38.0,20.0
41.7955556,-87.6415024,437,20.0,6.0
