geoid10,sidewalks,tree-lined streets,porches,fenced front yards,attached garages,cul-de-sacs,hills,private front entrances
17031010100,2,4,3,3,0,0,0,2
17031010201,3,4,1,3,1,0,0,3
17031010202,4,2,1,4,0,0,0,1
17031010300,2,4,3,4,0,0,0,4
17031010400,3,4,4,4,1,0,0,4
17031010501,1,4,1,4,1,0,0,3
17031010502,3,4,4,4,1,0,0,4
17031010600,3,4,1,2,2,0,0,1
17031010701,2,4,4,4,3,1,0,2
17031010702,4,4,3,4,3,1,0,4
17031020100,1,4,2,3,2,0,0,3
17031020200,1,4,2,4,1,0,0,3
17031020301,3,4,4,4,1,0,0,4
17031020302,2,4,1,2,1,1,0,2
17031020400,1,4,3,3,1,0,0,4
17031020500,2,4,3,4,2,1,1,3
17031020601,2,4,2,4,3,0,0,1
17031020602,3,4,3,4,2,1,0,3
17031020701,3,4,2,3,1,0,0,3
17031020702,2,4,3,3,3,0,0,4
17031020801,1,4,3,3,2,0,0,2
17031020802,1,4,1,1,1,0,0,3
17031020901,2,4,2,3,1,0,0,2
17031020902,2,4,0,1,3,0,0,0
17031030101,1,1,2,0,0,0,0,2
17031030102,3,2,1,1,0,0,0,1
17031030104,1,1,0,1,3,0,0,0
17031030200,2,4,1,4,2,0,0,1
17031030300,3,4,3,3,1,1,0,4
17031030400,2,4,2,4,1,0,0,2
17031030500,1,4,3,4,2,0,0,2
17031030601,1,2,0,0,4,0,0,0
17031030603,2,3,3,2,4,0,0,3
17031030604,4,2,2,1,2,0,0,1
17031030701,3,4,4,3,0,0,0,3
17031030703,3,4,1,3,1,0,0,2
17031030800,2,4,3,3,3,1,0,2
17031030900,4,4,1,2,2,0,0,1
17031031000,2,4,3,4,2,0,0,3
17031031100,3,4,2,3,0,0,0,2
17031031200,3,4,2,3,2,1,0,3
17031031300,0,3,0,4,0,0,0,1
17031031400,2,1,0,4,4,0,0,0
17031031501,4,4,4,4,1,0,0,4
17031031502,3,3,0,2,3,0,0,0
17031031700,2,4,3,3,0,0,0,2
17031031800,3,4,1,2,0,0,0,2
17031031900,4,4,2,3,2,1,0,3
17031032100,4,4,4,4,0,0,0,3
17031040100,4,4,0,2,2,0,0,3
17031040201,3,4,2,3,2,0,0,1
17031040202,2,4,1,2,0,1,0,2
17031040300,2,4,4,4,0,0,0,4
17031040401,2,4,3,4,2,0,0,2
17031040402,0,4,3,3,0,1,0,4
17031040600,1,4,3,4,1,0,0,3
17031040700,3,4,3,2,2,0,0,2
17031040800,2,4,0,2,1,0,0,3
17031040900,4,4,0,0,0,0,0,2
17031050100,2,4,4,4,2,0,0,1
17031050200,2,4,2,3,1,0,0,2
17031050300,4,3,0,3,3,1,0,2
17031050500,2,4,2,3,2,0,0,2
17031050600,4,4,3,4,2,1,0,4
17031050700,3,4,4,4,0,0,0,2
17031050800,1,4,3,4,0,0,0,3
17031050900,3,4,3,3,1,0,0,3
17031051000,2,4,2,4,1,0,0,4
17031051100,4,4,3,4,1,0,0,3
17031051200,0,4,3,4,2,0,0,3
17031051300,1,4,4,4,2,0,0,2
17031051400,2,4,2,3,2,0,0,2
17031060100,3,4,2,4,0,1,0,3
17031060300,1,4,2,3,1,0,0,2
17031060400,0,4,3,3,2,0,0,2
17031060500,3,4,3,3,0,0,0,4
17031060800,1,1,0,1,2,0,0,1
17031060900,3,3,3,4,1,0,0,4
17031061000,3,4,2,3,0,0,0,3
17031061100,2,3,3,3,0,0,0,3
17031061200,0,4,1,4,1,0,0,2
17031061500,2,4,4,3,4,1,0,1
17031061800,4,4,2,1,0,0,0,2
17031061901,4,4,3,3,4,0,0,0
17031061902,3,2,3,4,0,0,0,1
17031062000,0,4,2,3,1,0,0,2
17031062100,1,4,0,4,0,0,0,0
17031062200,3,4,1,4,1,0,0,3
17031062300,3,4,4,3,0,0,0,3
17031062400,1,4,2,3,3,0,0,3
17031062500,3,4,1,4,1,0,0,3
17031062600,4,4,2,3,1,0,0,1
17031062700,1,4,2,4,2,0,0,3
17031062800,2,4,1,4,2,0,0,3
17031062900,2,4,2,3,2,1,0,2
17031063000,1,4,3,2,1,0,0,2
17031063100,3,4,1,3,4,0,0,1
