geoid10,Yes
17031010100,3
17031010201,4
17031010202,4
17031010300,4
17031010400,4
17031010501,2
17031010502,4
17031010600,4
17031010701,4
17031010702,4
17031020100,4
17031020200,4
17031020301,4
17031020302,4
17031020400,3
17031020500,4
17031020601,4
17031020602,4
17031020701,4
17031020702,4
17031020801,4
17031020802,4
17031020901,3
17031020902,1
17031030101,2
17031030102,4
17031030104,4
17031030200,3
17031030300,4
17031030400,4
17031030500,3
17031030601,4
17031030603,4
17031030604,4
17031030701,4
17031030703,4
17031030800,4
17031030900,4
17031031000,4
17031031100,4
17031031200,4
17031031300,4
17031031400,4
17031031501,4
17031031502,4
17031031700,4
17031031800,4
17031031900,4
17031032100,4
17031040100,4
17031040201,4
17031040202,4
17031040300,4
17031040401,4
17031040402,4
17031040600,4
17031040700,4
17031040800,3
17031040900,3
17031050100,4
17031050200,4
17031050300,4
17031050500,4
17031050600,4
17031050700,4
17031050800,4
17031050900,4
17031051000,4
17031051100,4
17031051200,4
17031051300,4
17031051400,4
17031060100,4
17031060300,4
17031060400,4
17031060500,4
17031060800,3
17031060900,4
17031061000,4
17031061100,4
17031061200,4
17031061500,4
17031061800,3
17031061901,4
17031061902,4
17031062000,4
17031062100,4
17031062200,4
17031062300,4
17031062400,4
17031062500,4
17031062600,1
17031062700,4
17031062800,4
17031062900,3
17031063000,3
17031063100,4
17031063200,3
17031063301,4
17031063302,4
17031063400,3
17031070101,4
17031070102,4
17031070103,4
17031070200,4
17031070300,4
17031070400,4
17031070500,4
17031070600,4
17031070700,3
17031071000,3
17031071100,4
17031071200,4
17031071300,4
17031071400,2
17031071500,4
17031071600,4
17031071700,4
17031071800,4
17031080100,4
17031080201,4
17031080202,3
17031080300,4
17031080400,4
17031081000,4
17031081100,3
17031081201,3
17031081202,4
17031081300,4
17031081401,4
17031081402,2
17031081403,4
17031081500,3
17031081600,0
17031081700,3
17031081800,3
17031081900,4
17031090100,4
17031090200,4
17031090300,4
17031100100,4
17031100200,4
17031100300,4
17031100400,4
17031100500,4
17031100600,4
17031100700,4
17031110100,4
17031110200,3
17031110300,3
17031110400,3
17031110501,4
17031110502,3
17031120100,3
17031120200,4
17031120300,4
17031120400,3
17031130100,3
17031130200,4
17031130300,4
17031140100,4
17031140200,4
17031140301,4
17031140302,4
17031140400,4
17031140500,4
17031140601,4
17031140602,4
17031140701,4
17031140702,4
17031140800,3
17031150200,3
17031150300,4
17031150401,4
17031150402,4
17031150501,4
17031150502,4
17031150600,4
17031150700,4
17031150800,4
17031151001,4
17031151002,4
17031151100,4
17031151200,4
17031160100,3
17031160200,4
17031160300,3
17031160400,4
17031160501,4
17031160502,4
17031160601,3
17031160602,4
17031160700,4
17031160800,4
17031160900,3
17031161000,4
17031161100,3
17031161200,4
17031161300,4
17031170100,3
17031170200,4
17031170300,2
17031170400,3
17031170500,4
17031170600,2
17031170700,4
17031170800,4
17031170900,3
17031171000,4
17031171100,4
17031180100,4
17031190100,4
17031190200,4
17031190300,4
17031190401,4
17031190402,4
17031190601,4
17031190602,3
17031190701,2
17031190702,4
17031190800,4
17031190900,4
17031191000,2
17031191100,3
17031191200,3
17031191301,4
17031191302,4
17031200100,3
17031200200,3
17031200300,4
17031200401,3
17031200402,2
17031210100,4
17031210400,4
17031210501,4
17031210502,4
17031210601,3
17031210602,4
17031210700,4
17031210800,3
17031210900,4
17031220300,4
17031220400,4
17031220500,4
17031220601,4
17031220602,4
17031220701,4
17031220702,3
17031220901,4
17031220902,4
17031221000,4
17031221100,4
17031221200,4
17031221300,3
17031221400,4
17031221500,3
17031221600,4
17031222200,4
17031222500,2
17031222600,4
17031222700,4
17031222800,4
17031222900,4
17031230100,4
17031230200,4
17031230300,4
17031230400,4
17031230500,4
17031230600,3
17031230700,3
17031230800,4
17031230900,4
17031231100,4
17031231200,3
17031231500,4
17031240200,4
17031240300,4
17031240500,4
17031240600,4
17031240700,4
17031240800,4
17031240900,4
17031241000,4
17031241100,3
17031241200,4
17031241300,3
17031241400,4
17031241500,4
17031241600,4
17031242000,4
17031242100,4
17031242200,4
17031242300,4
17031242400,4
17031242500,4
17031242600,3
17031242700,4
17031242800,2
17031242900,4
17031243000,3
17031243100,3
17031243200,4
17031243300,4
17031243400,4
17031243500,2
17031250200,4
17031250300,3
17031250400,4
17031250500,4
17031250600,4
17031250700,3
17031250800,2
17031251000,3
17031251100,4
17031251200,4
17031251300,3
17031251400,4
17031251500,4
17031251600,4
17031251700,3
17031251800,4
17031251900,4
17031252000,4
17031252101,4
17031252102,4
17031252201,4
17031252202,4
17031260100,3
17031260200,4
17031260300,4
17031260400,4
17031260500,4
17031260600,4
17031260700,4
17031260800,4
17031260900,4
17031261000,3
17031270500,3
17031271200,3
17031271300,2
17031271400,4
